pair_id,cluster,n_seqs,mean_pid_to_F1,median_pid_to_F1,mean_pid_to_F2,median_pid_to_F2,mean_pid_to_query,median_pid_to_query
1iytA_2naoF,ShallowMsa_006,10,0.8158333333333333,0.8172619047619047,,,0.8158333333333333,0.8172619047619047
1iytA_2naoF,ShallowMsa_007,9,0.9471256726812283,0.9259259259259259,,,0.9471256726812283,0.9259259259259259
1iytA_2naoF,ShallowMsa_008,9,0.9654761904761904,0.9761904761904762,,,0.9654761904761904,0.9761904761904762
1iytA_2naoF,ShallowMsa_009,9,0.8333333333333333,0.8333333333333334,,,0.8333333333333333,0.8333333333333334
1iytA_2naoF,ShallowMsa_010,9,0.8306878306878306,0.8333333333333334,,,0.8306878306878306,0.8333333333333334
1iytA_2naoF,ShallowMsa_011,9,0.8222996515679442,0.8333333333333334,,,0.8222996515679442,0.8333333333333334
1jfkA_2nxqB,ShallowMsa_000,824,0.29232740102924815,0.288135593220339,,,0.29232740102924815,0.288135593220339
1jfkA_2nxqB,ShallowMsa_001,777,0.2835477942210683,0.2807017543859649,,,0.2835477942210683,0.2807017543859649
1jfkA_2nxqB,ShallowMsa_002,573,0.30392755120305454,0.3,,,0.30392755120305454,0.3
1jfkA_2nxqB,ShallowMsa_003,530,0.2647250993582971,0.26229508196721313,,,0.2647250993582971,0.26229508196721313
1jfkA_2nxqB,ShallowMsa_004,462,0.30043450725689874,0.29508196721311475,,,0.30043450725689874,0.29508196721311475
1jfkA_2nxqB,ShallowMsa_005,461,0.27761288862893996,0.27450980392156865,,,0.27761288862893996,0.27450980392156865
1jfkA_2nxqB,ShallowMsa_006,376,0.29288719471425967,0.2900763358778626,,,0.29288719471425967,0.2900763358778626
1jfkA_2nxqB,ShallowMsa_007,355,0.273700123909362,0.26785714285714285,,,0.273700123909362,0.26785714285714285
1jfkA_2nxqB,ShallowMsa_008,348,0.311507947620013,0.30357142857142855,,,0.311507947620013,0.30357142857142855
1jfkA_2nxqB,ShallowMsa_009,308,0.3065866486769417,0.2994845360824742,,,0.3065866486769417,0.2994845360824742
1jfkA_2nxqB,ShallowMsa_010,308,0.30829319581909437,0.3,,,0.30829319581909437,0.3
1jfkA_2nxqB,ShallowMsa_011,283,0.2888209659614786,0.2833333333333333,,,0.2888209659614786,0.2833333333333333
1jfkA_2nxqB,ShallowMsa_012,280,0.2903556846859348,0.2903225806451613,,,0.2903556846859348,0.2903225806451613
1jfkA_2nxqB,ShallowMsa_013,268,0.2733513310136314,0.2677313883299799,,,0.2733513310136314,0.2677313883299799
1jfkA_2nxqB,ShallowMsa_014,255,0.28453453583269317,0.2833333333333333,,,0.28453453583269317,0.2833333333333333
1jfkA_2nxqB,ShallowMsa_015,225,0.27931097323106574,0.2824427480916031,,,0.27931097323106574,0.2824427480916031
1jfkA_2nxqB,ShallowMsa_016,221,0.2750731567782659,0.2711864406779661,,,0.2750731567782659,0.2711864406779661
1jfkA_2nxqB,ShallowMsa_017,201,0.2826375117413184,0.2807017543859649,,,0.2826375117413184,0.2807017543859649
1jfkA_2nxqB,ShallowMsa_018,199,0.2754926970868288,0.2734375,,,0.2754926970868288,0.2734375
1jfkA_2nxqB,ShallowMsa_019,194,0.27987449914610757,0.2700557700557701,,,0.27987449914610757,0.2700557700557701
1jfkA_2nxqB,ShallowMsa_020,194,0.27945949037887696,0.27586206896551724,,,0.27945949037887696,0.27586206896551724
1jfkA_2nxqB,ShallowMsa_021,180,0.287790224499437,0.2828880407124682,,,0.287790224499437,0.2828880407124682
1jfkA_2nxqB,ShallowMsa_022,179,0.28820788132245534,0.2833333333333333,,,0.28820788132245534,0.2833333333333333
1jfkA_2nxqB,ShallowMsa_023,174,0.29129456396971876,0.2833333333333333,,,0.29129456396971876,0.2833333333333333
